39,77516,13,1,2174,0,40,-1
50,83311,13,1,0,0,13,-1
38,215646,9,1,0,0,40,-1
53,234721,7,1,0,0,40,-1
28,338409,13,-1,0,0,40,-1
37,284582,14,-1,0,0,40,-1
49,160187,5,-1,0,0,16,-1
52,209642,9,1,0,0,45,1
31,45781,14,-1,14084,0,50,1
42,159449,13,1,5178,0,40,1
37,280464,10,1,0,0,80,1
30,141297,13,1,0,0,40,1
23,122272,13,-1,0,0,30,-1
32,205019,12,1,0,0,50,-1
40,121772,11,1,0,0,40,1
34,245487,4,1,0,0,45,-1
25,176756,9,1,0,0,35,-1
32,186824,9,1,0,0,40,-1
38,28887,7,1,0,0,50,-1
43,292175,14,-1,0,0,45,1
40,193524,16,1,0,0,60,1
54,302146,9,-1,0,0,20,-1
35,76845,5,1,0,0,40,-1
43,117037,7,1,0,2042,40,-1
59,109015,9,-1,0,0,40,-1
56,216851,13,1,0,0,40,1
19,168294,9,1,0,0,40,-1
54,180211,10,1,0,0,60,1
39,367260,9,1,0,0,80,-1
49,193366,9,1,0,0,40,-1
23,190709,12,1,0,0,52,-1
20,266015,10,1,0,0,44,-1
45,386940,13,1,0,1408,40,-1
30,59951,10,1,0,0,40,-1
22,311512,10,1,0,0,15,-1
48,242406,7,1,0,0,40,-1
21,197200,10,1,0,0,40,-1
19,544091,9,-1,0,0,25,-1
31,84154,10,1,0,0,38,1
48,265477,12,1,0,0,40,-1
31,507875,5,1,0,0,43,-1
53,88506,13,1,0,0,40,-1
24,172987,13,1,0,0,50,-1
49,94638,9,-1,0,0,40,-1
25,289980,9,1,0,0,35,-1
57,337895,13,1,0,0,40,1
53,144361,9,1,0,0,38,-1
44,128354,14,-1,0,0,40,-1
41,101603,11,1,0,0,40,-1
29,271466,11,1,0,0,43,-1
25,32275,10,-1,0,0,40,-1
18,226956,9,-1,0,0,30,-1
47,51835,15,-1,0,1902,60,1
50,251585,13,1,0,0,55,1
47,109832,9,1,0,0,60,-1
43,237993,10,1,0,0,40,1
46,216666,3,1,0,0,40,-1
35,56352,11,1,0,0,40,-1
41,147372,9,1,0,0,48,-1
30,188146,9,1,5013,0,40,-1
30,59496,13,1,2407,0,40,-1
32,293936,4,1,0,0,40,-1
48,149640,9,1,0,0,40,-1
42,116632,16,1,0,0,45,1
29,105598,10,1,0,0,58,-1
36,155537,9,1,0,0,40,-1
28,183175,10,-1,0,0,40,-1
53,169846,9,-1,0,0,40,1
49,191681,10,1,0,0,50,1
25,200681,10,1,0,0,40,-1
19,101509,10,1,0,0,32,-1
31,309974,13,-1,0,0,40,-1
29,162298,13,1,0,0,70,1
23,211678,10,1,0,0,40,-1
79,124744,10,1,0,0,20,-1
27,213921,9,1,0,0,40,-1
40,32214,12,1,0,0,40,-1
67,212759,6,1,0,0,2,-1
18,309634,7,-1,0,0,22,-1
31,125927,4,1,0,0,40,-1
18,446839,9,1,0,0,30,-1
52,276515,13,1,0,0,40,-1
46,51618,9,-1,0,0,40,-1
